année;mois;date;trafic;;;
2002;10;oct.-02;1016871;;;
2002;11;nov.-02;844722;;;
2002;12;déc.-02;895011;;;
2003;1;janv.-03;722421;;;
2003;2;févr.-03;739795;;;
2003;3;mars-03;871321;;;
2003;4;avr.-03;881877;;;
2003;5;mai-03;905567;;;
2003;6;juin-03;1007787;;;
2003;7;juil.-03;1045589;;;
2003;8;août-03;1079481;;;
2003;9;sept.-03;871037;;;
2003;10;oct.-03;1046356;;;
2003;11;nov.-03;897813;;;
2003;12;déc.-03;913917;;;
2004;1;janv.-04;770689;;;
2004;2;févr.-04;881556;;;
2004;3;mars-04;1021598;;;
2004;4;avr.-04;1097896;;;
2004;5;mai-04;1057116;;;
2004;6;juin-04;1170219;;;
2004;7;juil.-04;1192284;;;
2004;8;août-04;1236436;;;
2004;9;sept.-04;1003842;;;
2004;10;oct.-04;1174885;;;
2004;11;nov.-04;1023000;;;
2004;12;déc.-04;999251;;;
2005;1;janv.-05;850675;;;
2005;2;févr.-05;931604;;;
2005;3;mars-05;1091677;;;
2005;4;avr.-05;1153686;;;
2005;5;mai-05;1147713;;;
2005;6;juin-05;1187824;;;
2005;7;juil.-05;1237638;;;
2005;8;août-05;1223825;;;
2005;9;sept.-05;1057781;;;
2005;10;oct.-05;1136221;;;
2005;11;nov.-05;1065748;;;
2005;12;déc.-05;1018840;;;
2006;1;janv.-06;904262;;;
2006;2;févr.-06;952717;;;
2006;3;mars-06;1164933;;;
2006;4;avr.-06;1186709;;;
2006;5;mai-06;1151961;;;
2006;6;juin-06;1205533;;;
2006;7;juil.-06;1236907;;;
2006;8;août-06;1240269;;;
2006;9;sept.-06;1069716;;;
2006;10;oct.-06;1202845;;;
2006;11;nov.-06;1097448;;;
2006;12;déc.-06;1053839;;;
2007;1;janv.-07;928312;;;
2007;2;févr.-07;941830;;;
2007;3;mars-07;1169377;;;
2007;4;avr.-07;1199274;;;
2007;5;mai-07;1203195;;;
2007;6;juin-07;1271267;;;
2007;7;juil.-07;1283425;;;
2007;8;août-07;1334035;;;
2007;9;sept.-07;1077126;;;
2007;10;oct.-07;1223165;;;
2007;11;nov.-07;1085643;;;
2007;12;déc.-07;984991;;;
2008;1;janv.-08;880155;;;
2008;2;févr.-08;950726;;;
2008;3;mars-08;1093784;;;
2008;4;avr.-08;1150854;;;
2008;5;mai-08;1127487;;;
2008;6;juin-08;1187659;;;
2008;7;juil.-08;1201075;;;
2008;8;août-08;1235984;;;
2008;9;sept.-08;981063;;;
2008;10;oct.-08;1080352;;;
2008;11;nov.-08;917066;;;
2008;12;déc.-08;950178;;;
2009;1;janv.-09;775357;;;
2009;2;févr.-09;843731;;;
2009;3;mars-09;989220;;;
2009;4;avr.-09;1074625;;;
2009;5;mai-09;1058746;;;
2009;6;juin-09;1127333;;;
2009;7;juil.-09;1229997;;;
2009;8;août-09;1251516;;;
2009;9;sept.-09;1042245;;;
2009;10;oct.-09;1149904;;;
2009;11;nov.-09;986697;;;
2009;12;déc.-09;1004647;;;
2010;1;janv.-10;859622;;;
2010;2;févr.-10;879326;;;
2010;3;mars-10;1085010;;;
2010;4;avr.-10;1158262;;;
2010;5;mai-10;1152495;;;
2010;6;juin-10;1212625;;;
2010;7;juil.-10;1283848;;;
2010;8;août-10;1335337;;;
2010;9;sept.-10;1138551;;;
2010;10;oct.-10;1274606;;;
2010;11;nov.-10;1118777;;;
2010;12;déc.-10;1043328;;;
2011;1;janv.-11;894888;;;
2011;2;févr.-11;905854;;;
2011;3;mars-11;1144991;;;
2011;4;avr.-11;1201842;;;
2011;5;mai-11;1267878;;;
2011;6;juin-11;1313828;;;
2011;7;juil.-11;1380612;;;
2011;8;août-11;1370981;;;
2011;9;sept.-11;1187691;;;
2011;10;oct.-11;1267572;;;
2011;11;nov.-11;1126166;;;
2011;12;déc.-11;1084546;;;
2012;1;janv.-12;945112;;;
2012;2;févr.-12;974194;;;
2012;3;mars-12;1174148;;;
2012;4;avr.-12;1228082;;;
2012;5;mai-12;1263038;;;
2012;6;juin-12;1313140;;;
2012;7;juil.-12;1357585;;;
2012;8;août-12;1410258;;;
2012;9;sept.-12;1160719;;;
2012;10;oct.-12;1219310;;;
2012;11;nov.-12;1145136;;;
2012;12;déc.-12;1080887;;;
2013;1;janv.-13;970635;;;
2013;2;févr.-13;945154;;;
2013;3;mars-13;1178353;;;
2013;4;avr.-13;1240912;;;
2013;5;mai-13;1302465;;;
2013;6;juin-13;1372882;;;
2013;7;juil.-13;1442765;;;
2013;8;août-13;1476966;;;
2013;9;sept.-13;1218885;;;
2013;10;oct.-13;1319506;;;
2013;11;nov.-13;1131231;;;
2013;12;déc.-13;1187331;;;
2014;1;janv.-14;970710;;;
2014;2;févr.-14;967026;;;
2014;3;mars-14;1224333;;;
2014;4;avr.-14;1324454;;;
2014;5;mai-14;1387880;;;
2014;6;juin-14;1435236;;;
2014;7;juil.-14;1524466;;;
2014;8;août-14;1529961;;;
2014;9;sept.-14;1301530;;;
2014;10;oct.-14;1380878;;;
2014;11;nov.-14;1194776;;;
2014;12;déc.-14;1239451;;;
2015;1;janv.-15;1005713;;;
2015;2;févr.-15;969602;;;
2015;3;mars-15;1294938;;;
2015;4;avr.-15;1387087;;;
2015;5;mai-15;1454783;;;
2015;6;juin-15;1509006;;;
2015;7;juil.-15;1620990;;;
2015;8;août-15;1619918;;;
2015;9;sept.-15;1366433;;;
2015;10;oct.-15;1501984;;;
2015;11;nov.-15;1287596;;;
2015;12;déc.-15;1293874;;;
2016;1;janv.-16;1116014;;;
2016;2;févr.-16;1135951;;;
2016;3;mars-16;1378138;;;
2016;4;avr.-16;1463401;;;
2016;5;mai-16;1557898;;;
2016;6;juin-16;1658871;;;
2016;7;juil.-16;1728698;;;
2016;8;août-16;1738032;;;
2016;9;sept.-16;1499361;;;
2016;10;oct.-16;1580022;;;
2016;11;nov.-16;1434502;;;
2016;12;déc.-16;1422352;;;
2017;1;janv.-17;1247767;;;
2017;2;févr.-17;1184658;;;
2017;3;mars-17;1481969;;;
2017;4;avr.-17;1577779;;;
2017;5;mai-17;1681375;;;
2017;6;juin-17;1727625;;;
2017;7;juil.-17;1779067;;;
